Rice,American,2,4,0.333,25.5,26.5,-2.93
Rutgers,Big Ten,4,2,0.667,25.7,20.2,1.53
Sam Houston,CUSA,5,1,0.833,31.8,23.8,-7.75
San Diego State,MWC,3,3,0.5,21.7,22.7,-6.5
San Jose State,MWC,4,2,0.667,33.5,26.2,-9.24
SMU,ACC,5,1,0.833,40.8,22.3,1.63
South Alabama,Sun Belt (West),2,4,0.333,36.5,27.2,-3.12
South Carolina,SEC,3,3,0.5,27.5,20.3,7.39
South Florida,American,2,4,0.333,23.5,30.8,3.51
Southern Mississippi,Sun Belt (West),1,5,0.167,16.7,32.5,-1.89
Stanford,ACC,2,4,0.333,20.3,30.8,5.47
Syracuse,ACC,5,1,0.833,33.8,24.7,-1.23
Temple,American,1,5,0.167,18.8,36.2,5.35
Tennessee,SEC,5,1,0.833,42.2,10.7,-2.68
Texas,SEC,6,0,1,43.2,6.3,1.56
Texas A&M,SEC,5,1,0.833,31,16.7,3.73
Texas Christian,Big 12,3,3,0.5,35.3,30.8,-0.56
Texas State,Sun Belt (West),4,2,0.667,38.2,22.3,-5.14
Texas Tech,Big 12,5,1,0.833,39.3,32.3,1.47
Toledo,MAC,4,2,0.667,32.3,21,-4.73
Troy,Sun Belt (West),1,5,0.167,20.7,27.8,2.34
Tulane,American,4,2,0.667,42.5,21.8,-1.18
Tulsa,American,2,4,0.333,24.3,37,-2.82
UAB,American,1,5,0.167,20.3,38,4.79
UCF,Big 12,3,3,0.5,30.7,23.7,0.66
UCLA,Big Ten,1,5,0.167,14.5,28.5,11.55
USC,Big Ten,3,3,0.5,30.7,20.8,7.67
Utah,Big 12,4,2,0.667,26.8,17,-3.16
Utah State,MWC,1,5,0.167,25,42.8,2.72
UTEP,CUSA,0,6,0,16,34.5,-0.92
UTSA,American,2,4,0.333,22.8,31.2,-5.3
Vanderbilt,SEC,4,2,0.667,34.7,23.5,4.6
Virginia,ACC,4,2,0.667,27.5,22,0.93
Virginia Tech,ACC,3,3,0.5,30.5,22.7,4.75
Wake Forest,ACC,2,4,0.333,27.8,34,2.88
Washington,Big Ten,4,3,0.571,24.1,17,3.15
Washington State,Ind,5,1,0.833,39,29.8,1.16
West Virginia,Big 12,3,3,0.5,30.2,26,4.52
Western Kentucky,CUSA,4,2,0.667,28.3,23.8,-3.4
Western Michigan,MAC,3,3,0.5,28.7,34.7,-1.24
Wisconsin,Big Ten,4,2,0.667,30,20,2.33
Wyoming,MWC,1,5,0.167,17.7,31.5,-2.9
